,STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,DATE
27,NC,0.002291,0.013252,0.007154,0.004336,0.002144,0.004581,0.007612,0.033421,0.02157,0.016218,0.039247,0.000921,0.005718,0.002845,0.006248,0.011604,0.004389,0.021391,0.006618,0.006532,0.024744,0.010129,0.005375,0.003287,0.005667,0.009605,0.003592,0.963696,0.002295,0.004902,0.009724,0.008472,0.006658,0.005423,0.006036,0.012238,0.004419,0.00216,0.013001,0.007907,0.239159,0.00359,0.054905,0.003352,0.003781,0.095272,0.008337,0.002,0.004313,0.03517,0.011552,2020-10-17
28,ND,0.000797,0.000193,0.00055,0.000949,0.000198,0.001615,0.000134,0.000184,0.000148,0.0002,0.000206,4e-05,0.002721,0.003064,0.000959,0.000859,0.001155,0.000421,0.000225,0.00017,0.000146,0.000216,0.00044,0.050702,0.000992,0.000217,0.036339,0.000171,0.969777,0.003717,0.000151,0.000119,0.001043,0.001048,0.000102,0.000507,0.000799,0.000789,0.000239,0.000111,0.000351,0.037167,0.00046,0.000338,0.001315,0.00023,0.000787,0.001095,0.003031,0.000482,0.011768,2020-10-17
29,NE,0.000996,0.001115,0.00352,0.003863,0.001584,0.019158,0.000687,0.00106,0.000679,0.000883,0.001258,0.000421,0.107873,0.008425,0.005611,0.003916,0.02945,0.002793,0.001166,0.000684,0.000965,0.001147,0.001746,0.00764,0.012921,0.00135,0.009384,0.001063,0.010686,0.964367,0.000723,0.000728,0.009444,0.006077,0.000782,0.002315,0.005653,0.003137,0.001582,0.000829,0.001014,0.109771,0.002234,0.00159,0.009516,0.001199,0.003011,0.001912,0.003864,0.001582,0.087487,2020-10-17
30,NH,0.000249,0.000465,0.000479,0.000392,0.000256,0.000842,0.027311,0.002996,0.004942,0.00086,0.000641,8e-05,0.000553,0.000267,0.000839,0.001062,0.000418,0.000907,0.000217,0.176556,0.00221,0.159597,0.000608,0.000508,0.000527,0.000456,0.000587,0.0015,0.000383,0.000576,0.934157,0.003376,0.000686,0.000359,0.004086,0.001337,0.000426,0.00054,0.002902,0.069173,0.000884,0.000219,0.000915,0.000338,0.000559,0.002382,0.231913,0.000297,0.000757,0.001111,0.001044,2020-10-17
31,NJ,0.000598,0.001881,0.002516,0.002196,0.001544,0.002513,0.046374,0.038492,0.131031,0.00499,0.003671,0.001001,0.002655,0.002286,0.003907,0.004637,0.002321,0.003748,0.001813,0.017898,0.029918,0.013743,0.002707,0.00172,0.002487,0.002129,0.002468,0.007011,0.001428,0.003302,0.012991,0.958843,0.005299,0.003172,0.131777,0.005514,0.001911,0.001408,0.118918,0.020459,0.0058,0.001642,0.004347,0.001602,0.002489,0.016247,0.0283,0.001132,0.002093,0.008855,0.010149,2020-10-17
32,NM,0.000946,0.001635,0.006088,0.025231,0.003913,0.020752,0.000568,0.001383,0.000551,0.000968,0.001369,0.000521,0.002942,0.004924,0.002454,0.002559,0.005472,0.001778,0.00332,0.000418,0.000918,0.000606,0.000821,0.001129,0.004318,0.003245,0.004179,0.000901,0.00176,0.005384,0.000391,0.000616,0.944557,0.011844,0.00053,0.00146,0.012417,0.002257,0.001109,0.000359,0.00096,0.003108,0.002722,0.015199,0.009263,0.001331,0.000509,0.001495,0.001003,0.001163,0.022924,2020-10-17
33,NV,0.003635,0.001067,0.002497,0.038431,0.033905,0.009789,0.000657,0.002535,0.001103,0.001547,0.001826,0.002884,0.003762,0.025943,0.003312,0.00336,0.003217,0.002047,0.00198,0.000799,0.001456,0.000628,0.001943,0.003045,0.003058,0.001567,0.011608,0.001252,0.003112,0.007966,0.000798,0.001103,0.024434,0.947167,0.000929,0.002041,0.004092,0.010521,0.001423,0.000829,0.001117,0.00556,0.002421,0.003394,0.063387,0.001372,0.000648,0.006972,0.002137,0.000891,0.038183,2020-10-17
34,NY,0.001096,0.002989,0.003563,0.00263,0.00186,0.002932,0.172223,0.032637,0.031347,0.005829,0.004911,0.001342,0.003656,0.002517,0.005421,0.009257,0.002563,0.007288,0.002189,0.046463,0.019614,0.033807,0.005068,0.003453,0.003366,0.003153,0.003959,0.00705,0.002091,0.004385,0.032876,0.196842,0.005134,0.00332,0.97859,0.010955,0.002657,0.002415,0.062614,0.042383,0.006032,0.003021,0.004749,0.00187,0.003671,0.013182,0.152802,0.00181,0.003241,0.011255,0.009537,2020-10-17
35,OH,0.001942,0.006397,0.009362,0.004921,0.001986,0.006438,0.008127,0.012539,0.011686,0.006953,0.008735,0.001242,0.009908,0.004997,0.017511,0.084168,0.006137,0.136818,0.00377,0.005545,0.010968,0.008289,0.060988,0.005419,0.009939,0.006821,0.008529,0.010195,0.006325,0.010972,0.007978,0.006664,0.01304,0.006499,0.009112,0.97577,0.006654,0.003022,0.050824,0.004728,0.010511,0.007552,0.021166,0.003483,0.00664,0.012809,0.010931,0.002729,0.00934,0.224118,0.03005,2020-10-17
36,OK,0.001046,0.004025,0.097203,0.009649,0.002396,0.011188,0.000717,0.002489,0.001188,0.002187,0.002746,0.000581,0.008836,0.004778,0.005597,0.004978,0.066934,0.004037,0.008919,0.000707,0.001482,0.00119,0.001748,0.003766,0.036669,0.006678,0.005645,0.001777,0.005203,0.012504,0.000813,0.000999,0.040288,0.006667,0.000907,0.002774,0.965221,0.002427,0.002042,0.00047,0.001898,0.008931,0.005769,0.033078,0.005435,0.002247,0.000834,0.001326,0.002502,0.002431,0.029294,2020-10-17
37,OR,0.011653,0.000553,0.001431,0.005113,0.008192,0.003515,0.000456,0.000599,0.000297,0.000491,0.000654,0.002203,0.002057,0.082133,0.001292,0.001079,0.001435,0.001445,0.000492,0.000633,0.000564,0.001602,0.000496,0.00145,0.001748,0.000691,0.015371,0.000555,0.00227,0.004665,0.001129,0.000417,0.00523,0.011928,0.00064,0.00092,0.001306,0.974601,0.000572,0.000276,0.000622,0.004728,0.001237,0.00089,0.011808,0.00077,0.001158,0.116563,0.00105,0.000587,0.026343,2020-10-17
38,PA,0.001942,0.003477,0.005699,0.003898,0.001827,0.004922,0.025824,0.056147,0.316995,0.006285,0.006055,0.001001,0.005472,0.003781,0.008086,0.011676,0.003778,0.011518,0.002875,0.013404,0.132428,0.01686,0.00744,0.003299,0.005046,0.004153,0.005816,0.011612,0.003775,0.006908,0.014135,0.164858,0.009389,0.004508,0.057674,0.049328,0.004625,0.00202,0.960555,0.01504,0.010492,0.004378,0.009248,0.002525,0.004395,0.034438,0.025151,0.001835,0.004277,0.141276,0.019434,2020-10-17
39,RI,5e-05,0.00017,0.000218,0.000217,0.000124,0.00025,0.050894,0.002259,0.001888,0.000536,0.000272,8e-05,0.000211,0.000146,0.000352,0.000382,0.000187,0.000349,0.000163,0.090727,0.001279,0.00896,0.000241,0.000137,0.000183,0.000157,0.00022,0.000606,0.000357,0.000398,0.020834,0.002646,0.000384,0.00019,0.00296,0.000548,0.000175,7.3e-05,0.001474,0.938623,0.000494,0.000197,0.000469,0.000132,0.000378,0.001086,0.009356,0.000117,0.000243,0.000566,0.000432,2020-10-17
40,SC,0.000946,0.009942,0.004624,0.002175,0.000841,0.002254,0.003832,0.011202,0.008399,0.013544,0.065061,0.000421,0.002369,0.001933,0.003609,0.008288,0.002563,0.01375,0.004452,0.00286,0.010748,0.003593,0.002976,0.0016,0.003791,0.00689,0.002761,0.150901,0.001658,0.002777,0.003206,0.004557,0.005573,0.002321,0.00301,0.00693,0.002817,0.001347,0.006675,0.003096,0.957483,0.002233,0.026139,0.00204,0.0023,0.021643,0.002918,0.000901,0.002032,0.018308,0.008997,2020-10-17
41,SD,0.000448,0.00046,0.001597,0.001559,0.000386,0.005285,0.000613,0.000507,0.000148,0.000348,0.000416,0.00012,0.037081,0.003453,0.001636,0.001464,0.00391,0.000819,0.00055,0.000211,0.000508,0.000433,0.000755,0.024593,0.002628,0.000885,0.017571,0.000302,0.049147,0.044023,0.000316,0.00021,0.002539,0.001625,0.000239,0.000718,0.001523,0.001323,0.000439,0.000249,0.000297,0.948387,0.000974,0.00058,0.002915,0.000424,0.000185,0.001707,0.003415,0.000534,0.058661,2020-10-17
42,TN,0.001643,0.088397,0.063016,0.005324,0.002533,0.006546,0.004273,0.010418,0.005578,0.017435,0.06594,0.000861,0.008223,0.004146,0.016324,0.036186,0.008645,0.146799,0.014076,0.002869,0.00747,0.003679,0.007722,0.004107,0.020763,0.143054,0.00545,0.037939,0.004285,0.007966,0.004335,0.004246,0.015017,0.005444,0.002987,0.017496,0.009223,0.003537,0.007187,0.004506,0.030644,0.007508,0.950155,0.006232,0.005223,0.038187,0.005002,0.001927,0.006794,0.020425,0.022457,2020-10-17
43,TX,0.006275,0.015331,0.099103,0.026712,0.009939,0.029417,0.003391,0.012861,0.004348,0.010825,0.010864,0.004487,0.010919,0.012242,0.011466,0.011125,0.028432,0.011402,0.148365,0.00392,0.00731,0.005411,0.006488,0.00734,0.020384,0.029852,0.01608,0.007385,0.009233,0.015002,0.003959,0.004425,0.210158,0.024285,0.003573,0.007781,0.142121,0.007166,0.005705,0.003069,0.007637,0.014228,0.017646,0.990603,0.015723,0.010397,0.004632,0.006166,0.0052,0.007367,0.044445,2020-10-17
44,UT,0.00259,0.001177,0.002307,0.018314,0.007446,0.02089,0.000717,0.002858,0.000573,0.001148,0.001531,0.001622,0.004667,0.090789,0.00278,0.002768,0.00369,0.001842,0.001356,0.000661,0.001142,0.001147,0.001191,0.002287,0.00339,0.001318,0.042913,0.001087,0.004336,0.011531,0.000557,0.000746,0.017982,0.05381,0.000834,0.001587,0.003232,0.010084,0.001241,0.001465,0.000941,0.008427,0.002071,0.001913,0.970114,0.001372,0.001158,0.006085,0.001514,0.001761,0.124519,2020-10-17
45,VA,0.001145,0.005765,0.005761,0.003023,0.001573,0.003852,0.010346,0.447241,0.060956,0.008034,0.011145,0.000981,0.003465,0.004474,0.005184,0.008577,0.003179,0.020769,0.004324,0.008028,0.190416,0.009869,0.003625,0.002374,0.004214,0.005111,0.006989,0.073416,0.00176,0.004377,0.010146,0.015193,0.007467,0.003524,0.008838,0.011075,0.003905,0.00199,0.030389,0.011446,0.025415,0.003721,0.040332,0.003171,0.005845,0.959996,0.013108,0.001557,0.002727,0.160475,0.012488,2020-10-17
46,VT,0.0001,0.000123,0.000294,0.000179,8.1e-05,0.000341,0.01937,0.001844,0.001633,0.0003,0.000225,0.0,0.000342,0.000158,0.000385,0.000479,0.000187,0.000409,0.000124,0.020216,0.000965,0.013137,0.000321,0.000254,0.00023,0.000152,0.000489,0.000529,0.000638,0.00061,0.078819,0.003032,0.000288,8.4e-05,0.008192,0.000661,0.00016,0.000176,0.001552,0.010589,0.000418,0.000306,0.000374,0.000145,0.000197,0.001102,0.930801,0.000103,0.00034,0.001457,0.000648,2020-10-17
47,WA,0.052537,0.000951,0.001156,0.006238,0.005048,0.00418,0.001203,0.001567,0.000721,0.000911,0.001111,0.005348,0.002394,0.164849,0.001746,0.001348,0.001864,0.001352,0.000852,0.001019,0.001176,0.001385,0.001055,0.002495,0.00197,0.000825,0.044355,0.000944,0.004361,0.004732,0.001024,0.000709,0.004653,0.010725,0.000787,0.001482,0.001469,0.169514,0.000929,0.000746,0.000817,0.006873,0.001244,0.001306,0.009972,0.000929,0.001297,0.984583,0.001304,0.000744,0.024472,2020-10-17
48,WI,0.002241,0.001776,0.003231,0.002945,0.001034,0.00386,0.00195,0.00212,0.001251,0.002221,0.002062,0.000461,0.050192,0.003769,0.074665,0.012713,0.004702,0.005406,0.001209,0.002153,0.001822,0.003485,0.01157,0.123111,0.006599,0.002097,0.009775,0.001933,0.019995,0.00872,0.002785,0.001538,0.004873,0.003383,0.001461,0.004608,0.003213,0.002203,0.002463,0.000912,0.001691,0.019218,0.004378,0.001403,0.003245,0.002147,0.003011,0.001744,0.969964,0.003081,0.018066,2020-10-17
49,WV,0.000398,0.001483,0.002236,0.000869,0.000245,0.001097,0.002054,0.014982,0.007042,0.001821,0.002435,0.0001,0.001806,0.000985,0.00289,0.006282,0.001732,0.028362,0.001201,0.001359,0.044694,0.00171,0.002439,0.000987,0.00215,0.001475,0.001344,0.009813,0.000842,0.002015,0.001415,0.00241,0.002745,0.000978,0.001887,0.044567,0.001443,0.000534,0.029589,0.002295,0.00756,0.001664,0.005437,0.000721,0.001741,0.03961,0.003057,0.000341,0.001543,0.933423,0.006406,2020-10-17
50,WY,0.000647,0.000956,0.002378,0.003667,0.001984,0.026101,0.000493,0.000507,0.000339,0.000604,0.001026,0.00022,0.005738,0.03607,0.002597,0.002504,0.004053,0.001674,0.001213,0.000321,0.000676,0.000563,0.000853,0.003028,0.003619,0.001046,0.05567,0.000679,0.009513,0.02412,0.000391,0.000484,0.009321,0.007912,0.000433,0.001386,0.003232,0.005619,0.000937,0.000387,0.000702,0.037517,0.001833,0.001323,0.034116,0.000816,0.000509,0.003763,0.00189,0.001058,0.907871,2020-10-17
0,AK,0.993059,6.7e-05,6.3e-05,0.000134,9.5e-05,0.000122,1.3e-05,0.0,3.5e-05,5.3e-05,5.2e-05,0.000168,3.1e-05,0.000521,4.4e-05,2.6e-05,7.2e-05,0.000107,3.8e-05,1.2e-05,4.2e-05,3.9e-05,6e-05,0.000126,7.7e-05,6.2e-05,0.000689,2.5e-05,0.000145,8.7e-05,5.5e-05,1.1e-05,0.000183,0.000148,2.6e-05,2e-05,5.5e-05,0.000988,1.9e-05,2.4e-05,3.3e-05,5.6e-05,5.3e-05,7.2e-05,0.000221,3.2e-05,0.0,0.001136,5.5e-05,0.0,0.000288,2020-06-17
1,AL,0.001163,0.976859,0.023564,0.00328,0.000954,0.003065,0.001702,0.002214,0.002126,0.037166,0.084766,0.000168,0.003772,0.002286,0.006283,0.010205,0.004845,0.022699,0.056231,0.000942,0.002887,0.001565,0.002369,0.001385,0.009897,0.153707,0.003305,0.007336,0.001599,0.003463,0.001083,0.001566,0.009093,0.00229,0.001076,0.005302,0.008369,0.00125,0.003122,0.001068,0.012509,0.003394,0.067051,0.007221,0.002729,0.005957,0.001724,0.000863,0.002356,0.006974,0.010219,2020-06-17
2,AR,0.000481,0.010644,0.974809,0.005158,0.001447,0.004403,0.001346,0.001463,0.001272,0.003205,0.004483,0.000149,0.006096,0.003274,0.007711,0.007474,0.01739,0.009578,0.030657,0.000915,0.00227,0.001198,0.002282,0.001934,0.050341,0.039136,0.004407,0.002617,0.002679,0.006507,0.000768,0.001331,0.015801,0.003391,0.000956,0.004014,0.067591,0.001618,0.002849,0.000854,0.003324,0.00447,0.029961,0.015419,0.003944,0.003886,0.001379,0.000897,0.002991,0.005752,0.015832,2020-06-17
3,AZ,0.003972,0.001841,0.005532,0.985604,0.021476,0.012577,0.001145,0.001186,0.001272,0.001349,0.00192,0.001136,0.004098,0.012246,0.003799,0.003234,0.005212,0.002369,0.002909,0.000903,0.001389,0.00112,0.001497,0.002378,0.004972,0.003098,0.010231,0.001226,0.004278,0.006702,0.000754,0.001018,0.062235,0.063188,0.000824,0.002018,0.008561,0.007182,0.001756,0.001068,0.00146,0.005787,0.003172,0.005047,0.033954,0.001785,0.001293,0.004825,0.002429,0.001898,0.026051,2020-06-17
4,CA,0.007061,0.001979,0.005257,0.056338,0.995973,0.011885,0.001747,0.002806,0.001586,0.001915,0.002564,0.010294,0.004282,0.027862,0.003691,0.003328,0.004363,0.002678,0.002776,0.001764,0.001957,0.001526,0.001578,0.00236,0.004586,0.002982,0.018613,0.001805,0.003967,0.008369,0.001111,0.001638,0.033952,0.148375,0.001427,0.002312,0.007117,0.041932,0.002071,0.001234,0.001927,0.005824,0.003596,0.004343,0.033479,0.002183,0.001724,0.013524,0.002152,0.002057,0.039465,2020-06-17
5,CO,0.00333,0.001496,0.004498,0.01041,0.003672,0.981672,0.001126,0.001542,0.00108,0.001502,0.001559,0.000856,0.008403,0.015892,0.004164,0.003597,0.020428,0.00277,0.002636,0.000849,0.001403,0.001275,0.001475,0.003949,0.007963,0.002163,0.023394,0.001205,0.009907,0.033308,0.000974,0.000942,0.060512,0.011953,0.00079,0.002158,0.009078,0.006179,0.001756,0.000807,0.001194,0.019662,0.002729,0.005179,0.029237,0.001436,0.00112,0.004657,0.003046,0.001759,0.182211,2020-06-17
6,CT,0.00016,0.000733,0.000867,0.000653,0.00027,0.000649,0.976368,0.003281,0.006482,0.001174,0.001196,3.7e-05,0.000925,0.000733,0.00127,0.001918,0.000501,0.00153,0.000549,0.08298,0.00453,0.02179,0.000656,0.000401,0.000878,0.000717,0.000885,0.001916,0.000602,0.001029,0.029034,0.014942,0.00162,0.000833,0.039239,0.00226,0.000739,0.000468,0.006901,0.159878,0.002226,0.000965,0.001466,0.000434,0.000806,0.004062,0.037533,0.000279,0.000903,0.003676,0.003253,2020-06-17
7,DC,0.0,0.000228,0.000162,0.000225,0.000124,0.00028,0.001171,0.895648,0.008852,0.000481,0.000552,9.3e-05,0.000183,0.000393,0.000274,0.000374,0.000135,0.000364,0.000259,0.000868,0.10957,0.000753,0.000275,0.000183,0.000238,0.000365,0.000236,0.001401,0.000125,0.000145,0.000699,0.001867,0.000388,0.000242,0.001135,0.000451,0.000164,0.000116,0.002594,0.001186,0.001065,0.000185,0.000501,0.000161,0.000312,0.040193,0.001207,0.000124,0.000134,0.004779,0.000432,2020-06-17
